title,description,link
Downingtown East High School,"Completed Freshman and Sophomore years, and took multiple CS-focused classes offered by the school."
Other Learnings and Docs,"Drive full of different learnings documented",https://drive.google.com/drive/folders/1mGs2cf4z_BFskrvoZHi6pMJt9tJEO1uk?usp=sharing
